"","value","record","element","collection"
"1","AA00013083_00001University of Florida",40,"recordInfo","dlc"
"2","30180994",40,"identifier","dlc"
"3","07092203",40,"identifier","dlc"
"4","(Mount Hope, C.Z.)1911",40,"originInfo","dlc"
"5","v. ;21 cm.",40,"relatedItem","dlc"
"6","19111",40,"relatedItem","dlc"
"7","serial",40,"genre","dlc"
"8","19111",40,"part","dlc"
"9","text",40,"typeOfResource","dlc"
"10","All rights reserved by the source institution.",40,"accessCondition","dlc"
"11","v. ;21 cm.",40,"physicalDescription","dlc"
"12","Includes ""Biographical notes"" of members.

Began in 1911",40,"note","dlc"
"13","Panama Canal Museum",40,"note","dlc"
"14","Englisheng",40,"language","dlc"
"15","[Society of the Chagres]",40,"name","dlc"
"16","Year book",40,"titleInfo","dlc"
"17","AA00013083_00003University of Florida",39,"recordInfo","dlc"
"18","30180994",39,"identifier","dlc"
"19","07092203",39,"identifier","dlc"
"20","John O. Collins1913",39,"originInfo","dlc"
"21","v. ;21 cm.",39,"relatedItem","dlc"
"22","19133",39,"relatedItem","dlc"
"23","serial",39,"genre","dlc"
"24","19133",39,"part","dlc"
"25","text",39,"typeOfResource","dlc"
"26","All rights reserved by the source institution.",39,"accessCondition","dlc"
"27","v. ;21 cm.",39,"physicalDescription","dlc"
"28","Includes ""Biographical notes"" of members.

Began in 1911",39,"note","dlc"
"29","Panama Canal Museum",39,"note","dlc"
"30","Englisheng",39,"language","dlc"
"31","[Society of the Chagres]",39,"name","dlc"
"32","Year book",39,"titleInfo","dlc"
"33","AA00013083_00004University of Florida",38,"recordInfo","dlc"
"34","30180994",38,"identifier","dlc"
"35","07092203",38,"identifier","dlc"
"36","John O. Collins1914",38,"originInfo","dlc"
"37","v. ;21 cm.",38,"relatedItem","dlc"
"38","19144",38,"relatedItem","dlc"
"39","serial",38,"genre","dlc"
"40","19144",38,"part","dlc"
"41","text",38,"typeOfResource","dlc"
"42","All rights reserved by the source institution.",38,"accessCondition","dlc"
"43","v. ;21 cm.",38,"physicalDescription","dlc"
"44","Includes ""Biographical notes"" of members.

Began in 1911",38,"note","dlc"
"45","Panama Canal Museum",38,"note","dlc"
"46","Englisheng",38,"language","dlc"
"47","[Society of the Chagres]",38,"name","dlc"
"48","Year book",38,"titleInfo","dlc"
"49","AA00013083_00005University of Florida",37,"recordInfo","dlc"
"50","30180994",37,"identifier","dlc"
"51","07092203",37,"identifier","dlc"
"52","Edited by John K. Baxter1915",37,"originInfo","dlc"
"53","v. ;21 cm.",37,"relatedItem","dlc"
"54","19155",37,"relatedItem","dlc"
"55","serial",37,"genre","dlc"
"56","19155",37,"part","dlc"
"57","text",37,"typeOfResource","dlc"
"58","All rights reserved by the source institution.",37,"accessCondition","dlc"
"59","v. ;21 cm.",37,"physicalDescription","dlc"
"60","Includes ""Biographical notes"" of members.

Began in 1911",37,"note","dlc"
"61","Panama Canal Museum",37,"note","dlc"
"62","Englisheng",37,"language","dlc"
"63","[Society of the Chagres]",37,"name","dlc"
"64","Year book",37,"titleInfo","dlc"
"65","AA00013083_00006University of Florida",36,"recordInfo","dlc"
"66","30180994",36,"identifier","dlc"
"67","07092203",36,"identifier","dlc"
"68","Edited by F.G. Swanson1916-17",36,"originInfo","dlc"
"69","v. ;21 cm.",36,"relatedItem","dlc"
"70","1916-176",36,"relatedItem","dlc"
"71","serial",36,"genre","dlc"
"72","1916-176",36,"part","dlc"
"73","text",36,"typeOfResource","dlc"
"74","All rights reserved by the source institution.",36,"accessCondition","dlc"
"75","v. ;21 cm.",36,"physicalDescription","dlc"
"76","Includes ""Biographical notes"" of members.

Began in 1911",36,"note","dlc"
"77","Panama Canal Museum
""Builders of The Panama Canal""",36,"note","dlc"
"78","Englisheng",36,"language","dlc"
"79","[Society of the Chagres]",36,"name","dlc"
"80","Year book",36,"titleInfo","dlc"
"81","UF00095943_00088Tracking GUI:4.0.2:UFAD\neldasUniversity of Florida",35,"recordInfo","dlc"
"82","Imprimerie du gouvernementMarch 7, 1824",35,"originInfo","dlc"
"83","Issue 13131824March7",35,"relatedItem","dlc"
"84","serial",35,"genre","dlc"
"85","Issue 13131824March7",35,"part","dlc"
"86","text",35,"typeOfResource","dlc"
"87","Frenchfre",35,"language","dlc"
"88","Telegraphie",35,"titleInfo","dlc"
"89","UF00095943_00087Tracking GUI:4.0.2:UFAD\neldasUniversity of Florida",34,"recordInfo","dlc"
"90","Imprimerie du gouvernementMarch 7, 1824",34,"originInfo","dlc"
"91","Issue 12121824March7",34,"relatedItem","dlc"
"92","serial",34,"genre","dlc"
"93","Issue 12121824March7",34,"part","dlc"
"94","text",34,"typeOfResource","dlc"
"95","Frenchfre",34,"language","dlc"
"96","Telegraphie",34,"titleInfo","dlc"
"97","UF00095943_00086Tracking GUI:4.0.2:UFAD\neldasUniversity of Florida",33,"recordInfo","dlc"
"98","Imprimerie du gouvernementMarch 7, 1824",33,"originInfo","dlc"
"99","Issue 10101824March7",33,"relatedItem","dlc"
"100","serial",33,"genre","dlc"
"101","Issue 10101824March7",33,"part","dlc"
"102","text",33,"typeOfResource","dlc"
"103","Frenchfre",33,"language","dlc"
"104","Telegraphie",33,"titleInfo","dlc"
"105","AA00015058_00021Derived from the SobekCM databse",32,"recordInfo","dlc"
"106","Escuela Superior de Paraiso1959",32,"originInfo","dlc"
"107","1959195919591959",32,"relatedItem","dlc"
"108","1959195919591959",32,"part","dlc"
"109","mixed material",32,"typeOfResource","dlc"
"110","Copyright Board of Trustees of the University of Florida",32,"accessCondition","dlc"
"111","Pacifico",32,"titleInfo","dlc"
"112","AA00015058_00025Derived from the SobekCM databse",31,"recordInfo","dlc"
"113","Escuela Superior de Paraiso1958",31,"originInfo","dlc"
"114","1958195819581958",31,"relatedItem","dlc"
"115","serial",31,"genre","dlc"
"116","1958195819581958",31,"part","dlc"
"117","text",31,"typeOfResource","dlc"
"118","Copyright Board of Trustees of the University of Florida",31,"accessCondition","dlc"
"119","A few names listed for the 1935 La Boca Canal Zone Public School:
Lilian Burgess, Fredy Bushnell, Evelyn Chanvas, Dorothy Clarke, Eltyn Clarke, Rose Clarke, Edna Edhill, Doris Forbes, Marcus Granum, Mym Gooden, Enid Hall, Louise Holligan, Doris Hunt, Edna Jordan, George Jordan, Myrtle Mendez, Clara Robinson, Dorothy Small, Ismay Straung.",31,"note","dlc"
"120","PacificoThe Panama Canal: 1935 Graduates of La Boca Public School",31,"titleInfo","dlc"
"121","AA00015058_00019Derived from the SobekCM databse",30,"recordInfo","dlc"
"122","Escuela Superior de Paraiso1956",30,"originInfo","dlc"
"123","1956195619561956",30,"relatedItem","dlc"
"124","1956195619561956",30,"part","dlc"
"125","mixed material",30,"typeOfResource","dlc"
"126","Copyright Board of Trustees of the University of Florida",30,"accessCondition","dlc"
"127","Pacifico",30,"titleInfo","dlc"
"128","AA00015058_00017Derived from the SobekCM databse",29,"recordInfo","dlc"
"129","Escuela Superior de Paraiso1955",29,"originInfo","dlc"
"130","1955195519551955",29,"relatedItem","dlc"
"131","1955195519551955",29,"part","dlc"
"132","mixed material",29,"typeOfResource","dlc"
