"","value","record","element","collection"
"1","dlc20221128lcwaN0000657eng",40,"recordInfo","loc"
"2","lcwaN0000657",40,"identifier","loc"
"3","700",40,"identifier","loc"
"4","http://weberinthehouse.com/",40,"identifier","loc"
"5","1020",40,"identifier","loc"
"6","http://www.weberinthehouse.com/",40,"identifier","loc"
"7","1019",40,"identifier","loc"
"8","general",40,"targetAudience","loc"
"9","2006062120081126",40,"originInfo","loc"
"10","2006062120081126",40,"originInfo","loc"
"11","United States Elections Web Archive",40,"relatedItem","loc"
"12","Researcher and Reference Services Division",40,"relatedItem","loc"
"13","http://weberinthehouse.com/1020http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001020.jpgNone2006062120081126",40,"relatedItem","loc"
"14","http://www.weberinthehouse.com/1019http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001019.jpg2006062120081126",40,"relatedItem","loc"
"15","website",40,"genre","loc"
"16","None",40,"part","loc"
"17","text",40,"typeOfResource","loc"
"18","None",40,"accessCondition","loc"
"19","Weber, Craig Peter",40,"subject","loc"
"20","Political candidatesUnited States",40,"subject","loc"
"21","ElectionsUnited States",40,"subject","loc"
"22","Politics and governmentUnited States",40,"subject","loc"
"23","United States Elections, 2006",40,"subject","loc"
"24","United StatesCongressHouse",40,"subject","loc"
"25","Democratic Party",40,"subject","loc"
"26","North Carolina",40,"subject","loc"
"27","North Carolina (3rd Congressional District)",40,"subject","loc"
"28","United States Elections, 2008",40,"subject","loc"
"29","United StatesCongressHouse",40,"subject","loc"
"30","Democratic Party",40,"subject","loc"
"31","North Carolina",40,"subject","loc"
"32","North Carolina (3rd Congressional District)",40,"subject","loc"
"33","electronictext/htmlborn digital",40,"physicalDescription","loc"
"34","eng",40,"language","loc"
"35","Weber, Craig Peter",40,"name","loc"
"36","Weber, Craig Peter",40,"name","loc"
"37","United StatesCongressHouse",40,"name","loc"
"38","Democratic Party",40,"name","loc"
"39","United StatesCongressHouse",40,"name","loc"
"40","Democratic Party",40,"name","loc"
"41","Official Campaign Website - Craig Peter Weber",40,"titleInfo","loc"
"42","United States Elections Web Archive",40,"titleInfo","loc"
"43","Researcher and Reference Services Division",40,"titleInfo","loc"
"44","dlc20221128lcwaN0000656eng",39,"recordInfo","loc"
"45","lcwaN0000656",39,"identifier","loc"
"46","2085",39,"identifier","loc"
"47","http://www.patrickwarrenforcongress.com/",39,"identifier","loc"
"48","1018",39,"identifier","loc"
"49","general",39,"targetAudience","loc"
"50","2006062120061213",39,"originInfo","loc"
"51","United States Elections Web Archive",39,"relatedItem","loc"
"52","Researcher and Reference Services Division",39,"relatedItem","loc"
"53","http://www.patrickwarrenforcongress.com/1018http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001018.jpgNone2006062120061213",39,"relatedItem","loc"
"54","website",39,"genre","loc"
"55","None",39,"part","loc"
"56","text",39,"typeOfResource","loc"
"57","None",39,"accessCondition","loc"
"58","Warren, Patrick",39,"subject","loc"
"59","Political candidatesUnited States",39,"subject","loc"
"60","ElectionsUnited States",39,"subject","loc"
"61","Politics and governmentUnited States",39,"subject","loc"
"62","United States Elections, 2006",39,"subject","loc"
"63","United StatesCongressHouse",39,"subject","loc"
"64","Libertarian Party",39,"subject","loc"
"65","Texas",39,"subject","loc"
"66","Texas (18th Congressional District)",39,"subject","loc"
"67","electronictext/htmlborn digital",39,"physicalDescription","loc"
"68","eng",39,"language","loc"
"69","Warren, Patrick",39,"name","loc"
"70","Warren, Patrick",39,"name","loc"
"71","United StatesCongressHouse",39,"name","loc"
"72","Libertarian Party",39,"name","loc"
"73","Official Campaign Website - Patrick Warren",39,"titleInfo","loc"
"74","United States Elections Web Archive",39,"titleInfo","loc"
"75","Researcher and Reference Services Division",39,"titleInfo","loc"
"76","dlc20221128lcwaN0000655eng",38,"recordInfo","loc"
"77","lcwaN0000655",38,"identifier","loc"
"78","2081",38,"identifier","loc"
"79","http://www.vandenbergforcongress.com/",38,"identifier","loc"
"80","1017",38,"identifier","loc"
"81","general",38,"targetAudience","loc"
"82","2004100920061214",38,"originInfo","loc"
"83","United States Elections Web Archive",38,"relatedItem","loc"
"84","Researcher and Reference Services Division",38,"relatedItem","loc"
"85","http://www.vandenbergforcongress.com/1017http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001017.jpgNone2004100920061214",38,"relatedItem","loc"
"86","website",38,"genre","loc"
"87","None",38,"part","loc"
"88","text",38,"typeOfResource","loc"
"89","None",38,"accessCondition","loc"
"90","Vandenberg, Louis",38,"subject","loc"
"91","Political candidatesUnited States",38,"subject","loc"
"92","ElectionsUnited States",38,"subject","loc"
"93","Politics and governmentUnited States",38,"subject","loc"
"94","United States Elections, 2004",38,"subject","loc"
"95","United StatesCongressHouse",38,"subject","loc"
"96","Democratic Party",38,"subject","loc"
"97","California",38,"subject","loc"
"98","California (44th Congressional District)",38,"subject","loc"
"99","United States Elections, 2006",38,"subject","loc"
"100","United StatesCongressHouse",38,"subject","loc"
"101","Democratic Party",38,"subject","loc"
"102","California",38,"subject","loc"
"103","California (44th Congressional District)",38,"subject","loc"
"104","electronictext/htmlborn digital",38,"physicalDescription","loc"
"105","eng",38,"language","loc"
"106","Vandenberg, Louis",38,"name","loc"
"107","Vandenberg, Louis",38,"name","loc"
"108","United StatesCongressHouse",38,"name","loc"
"109","Democratic Party",38,"name","loc"
"110","United StatesCongressHouse",38,"name","loc"
"111","Democratic Party",38,"name","loc"
"112","Official Campaign Website - Louis Vandenberg",38,"titleInfo","loc"
"113","United States Elections Web Archive",38,"titleInfo","loc"
"114","Researcher and Reference Services Division",38,"titleInfo","loc"
"115","dlc20221128lcwaN0000654eng",37,"recordInfo","loc"
"116","lcwaN0000654",37,"identifier","loc"
"117","500",37,"identifier","loc"
"118","http://stephanietubbsjones.com/",37,"identifier","loc"
"119","1016",37,"identifier","loc"
"120","http://www.stephanietubbsjones.com/",37,"identifier","loc"
"121","1015",37,"identifier","loc"
"122","general",37,"targetAudience","loc"
"123","2006062120091005",37,"originInfo","loc"
"124","2006062120091005",37,"originInfo","loc"
"125","United States Elections Web Archive",37,"relatedItem","loc"
"126","Researcher and Reference Services Division",37,"relatedItem","loc"
"127","http://stephanietubbsjones.com/1016http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001016.jpgNone2006062120091005",37,"relatedItem","loc"
"128","http://www.stephanietubbsjones.com/1015http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001015.jpg2006062120091005",37,"relatedItem","loc"
"129","website",37,"genre","loc"
"130","None",37,"part","loc"
"131","text",37,"typeOfResource","loc"
"132","None",37,"accessCondition","loc"
"133","Jones, Stephanie Tubbs",37,"subject","loc"
"134","Political candidatesUnited States",37,"subject","loc"
"135","ElectionsUnited States",37,"subject","loc"
"136","Politics and governmentUnited States",37,"subject","loc"
"137","United States Elections, 2006",37,"subject","loc"
"138","United StatesCongressHouse",37,"subject","loc"
"139","Democratic Party",37,"subject","loc"
"140","Ohio",37,"subject","loc"
"141","Ohio (11th Congressional District)",37,"subject","loc"
"142","United States Elections, 2008",37,"subject","loc"
"143","United StatesCongressHouse",37,"subject","loc"
"144","Democratic Party",37,"subject","loc"
"145","Ohio",37,"subject","loc"
"146","Ohio (11th Congressional District)",37,"subject","loc"
"147","electronictext/htmlborn digital",37,"physicalDescription","loc"
"148","eng",37,"language","loc"
"149","Jones, Stephanie Tubbs",37,"name","loc"
"150","Jones, Stephanie Tubbs",37,"name","loc"
"151","United StatesCongressHouse",37,"name","loc"
"152","Democratic Party",37,"name","loc"
"153","United StatesCongressHouse",37,"name","loc"
"154","Democratic Party",37,"name","loc"
"155","Official Campaign Website - Stephanie Tubbs Jones",37,"titleInfo","loc"
"156","United States Elections Web Archive",37,"titleInfo","loc"
"157","Researcher and Reference Services Division",37,"titleInfo","loc"
"158","dlc20221128lcwaN0000653eng",36,"recordInfo","loc"
"159","lcwaN0000653",36,"identifier","loc"
"160","2112",36,"identifier","loc"
"161","http://tognazziniforcongress.com/",36,"identifier","loc"
"162","1014",36,"identifier","loc"
"163","general",36,"targetAudience","loc"
"164","2006062120061213",36,"originInfo","loc"
"165","United States Elections Web Archive",36,"relatedItem","loc"
"166","Researcher and Reference Services Division",36,"relatedItem","loc"
"167","http://tognazziniforcongress.com/1014http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001014.jpgNone2006062120061213",36,"relatedItem","loc"
"168","website",36,"genre","loc"
"169","None",36,"part","loc"
"170","text",36,"typeOfResource","loc"
"171","None",36,"accessCondition","loc"
"172","Tognazzini, Victor D.",36,"subject","loc"
"173","Political candidatesUnited States",36,"subject","loc"
"174","ElectionsUnited States",36,"subject","loc"
"175","Politics and governmentUnited States",36,"subject","loc"
